rank,round,name,regressor,status,selection_metric,selection_value,mae,rmse,custom_score,alpha,l1_ratio,variance_threshold,n_components,kernel,C,epsilon,gamma,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,max_features,max_samples,num_leaves,base_candidates,description,usual_use,good_points,bad_points,error
1,1,elasticnet-a01-l03,elasticnet,ok,rmse,5.334264898684431,4.223311242001001,5.334264898684431,4.55659733900603,0.01,0.3,,,,,,,,,,,,,,,,ElasticNet with lighter regularization.,Signal-rich settings with many useful features.,Less shrinkage can improve fit.,Higher overfitting risk.,
2,1,elasticnet-default,elasticnet,ok,rmse,5.381773550575317,4.162091496936319,5.381773550575317,4.527996113028018,0.1,0.5,,,,,,,,,,,,,,,,Linear model with mixed L1/L2 regularization.,High-dimensional data where feature selection helps.,Can shrink coefficients and set some to zero.,Needs alpha/l1_ratio tuning and can be slow.,
3,1,elasticnet-a03-l07,elasticnet,ok,rmse,5.4295633202220115,4.131799594747043,5.4295633202220115,4.521128712389533,0.03,0.7,,,,,,,,,,,,,,,,ElasticNet with balanced shrinkage and sparsity.,Correlated sparse predictors.,Good bias/variance compromise.,Still needs robust tuning.,
4,1,lasso-a01,lasso,ok,rmse,5.475109265755215,4.150952436948762,5.475109265755215,4.548199485590698,0.01,,,,,,,,,,,,,,,,,Pure L1 regularized linear model.,Automatic feature selection.,Very interpretable sparse coefficients.,Can underperform when features are correlated.,
5,6,stacking-top3,stacking,ok,rmse,5.4797859642696265,4.208042429367619,5.4797859642696265,4.589565489838221,,,,,,,,,,,,,,,,,"['elasticnet-a01-l03', 'elasticnet-default', 'elasticnet-a03-l07']",Stacking ensemble built from top-3 candidates.,Combine complementary models for final accuracy.,Can improve robustness and generalization.,Harder to interpret and slower to train.,
6,1,elasticnet-a005-l09,elasticnet,ok,rmse,5.50754387322142,4.15387836165605,5.50754387322142,4.559978015125661,0.05,0.9,,,,,,,,,,,,,,,,ElasticNet with stronger L1 component.,Sparse high-dimensional feature selection.,Can remove many weak features.,Can be unstable if over-sparse.,
7,3,pls-10,pls,ok,rmse,6.039278242556729,4.906225878458671,6.039278242556729,5.246141587688088,,,,10.0,,,,,,,,,,,,,,PLS regression with 10 components.,Supervised dimensionality reduction for p >> n.,Uses target information during projection.,Can overfit if too many components.,
8,1,ridge-alpha-01,ridge,ok,rmse,6.039484619003159,4.907020204308494,6.039484619003159,5.246759528716893,0.1,,,,,,,,,,,,,,,,,Ridge model with lighter L2 penalty.,Low-bias regularized linear baseline.,Stable and fast.,No feature pruning.,
9,3,pls-50,pls,ok,rmse,6.039584759896442,4.907052434827466,6.039584759896442,5.2468121323481585,,,,50.0,,,,,,,,,,,,,,PLS regression with 50 components.,Maximal supervised compression in current sweep.,Flexible latent representation.,More likely to overfit small validation sets.,
10,3,pls-20,pls,ok,rmse,6.039587975731806,4.907056257476835,6.039587975731806,5.246815772953326,,,,20.0,,,,,,,,,,,,,,PLS regression with 20 components.,Supervised latent factors with richer representation.,Can capture additional predictive structure.,Higher model complexity.,
11,1,ridge-alpha-1,ridge,ok,rmse,6.0397599699731,4.907262103159616,6.0397599699731,5.247011463203661,1.0,,,,,,,,,,,,,,,,,Linear model with L2 regularization.,Correlated features and p >> n settings.,"Stable, fast, and handles multicollinearity well.",Does not perform feature selection.,
12,1,ridge-alpha-10,ridge,ok,rmse,6.042511937512092,4.909677720844723,6.042511937512092,5.249527985844933,10.0,,,,,,,,,,,,,,,,,Linear model with stronger L2 regularization.,Noisy or very high-dimensional regression.,Stronger shrinkage can improve generalization.,Can underfit if regularization is too strong.,
13,2,pca100-ridge,pca_ridge,ok,rmse,6.068032315551171,4.943610309901185,6.068032315551171,5.28093691159618,1.0,,,100.0,,,,,,,,,,,,,,PCA(100) followed by Ridge.,Preserve more variance before regression.,Can retain richer signal.,Higher complexity and overfitting risk.,
14,4,svr-linear,svr,ok,rmse,6.137171504310588,4.992906011271666,6.137171504310588,5.336185659183342,,,,100.0,linear,1.0,0.2,,,,,,,,,,,Linear SVR on PCA-reduced features.,Margin-based linear regression baseline.,Often robust in high dimensions.,Still slower than Ridge/ElasticNet.,
15,5,lgbm-base,lgbm,ok,rmse,6.337933425033311,5.1350012987966895,6.337933425033311,5.4958809366676755,,,,,,,,,200.0,4.0,0.05,0.8,0.3,,,31.0,,LightGBM with aggressive feature subsampling.,Fast boosted tree modeling on high-dimensional data.,Efficient and can capture nonlinear interactions.,Can overfit without strict regularization.,
16,2,pca50-ridge,pca_ridge,ok,rmse,6.386540673499525,5.217365866391283,6.386540673499525,5.568118308523755,1.0,,,50.0,,,,,,,,,,,,,,PCA(50) followed by Ridge.,Compact latent representation for p >> n.,Fast and robust.,Unsupervised reduction may lose target signal.,
17,5,xgb-base,xgb,ok,rmse,6.946969793421064,5.54976540056679,6.946969793421064,5.968926718423072,,,,,,,,,200.0,3.0,0.05,0.8,0.3,,,,,XGBoost with aggressive feature subsampling.,High-performance nonlinear tabular modeling.,Often strong predictive power with regularization.,More computationally expensive.,
18,4,gbr-100,gbr,ok,rmse,7.729486558871838,6.274649795717775,7.729486558871838,6.711100824663994,,,,,,,,,100.0,3.0,0.05,0.8,,sqrt,,,,Gradient boosting regressor with subsampling.,Structured nonlinear tabular relationships.,Strong predictive baseline on many tabular tasks.,Can overfit and is sensitive to tuning.,
19,4,rf-500,rf,ok,rmse,9.36738437486118,7.552431360977102,9.36738437486118,8.096917265142324,,,,,,,,,500.0,10.0,,,,sqrt,0.8,,,Random forest with feature and sample subsampling.,Nonlinear interactions and robust averaging.,Less sensitive to scaling and outliers.,Can overfit in p >> n if not constrained.,
20,4,svr-rbf,svr,ok,rmse,10.975286513405715,8.523445220186126,10.975286513405715,9.258997608152002,,,,100.0,rbf,1.0,0.2,scale,,,,,,,,,,SVR with RBF kernel on PCA-reduced features.,Nonlinear methylation-age relationships.,Can model nonlinear effects well.,Sensitive to hyperparameters and slower to train.,
21,2,varthresh-elasticnet,varthresh_elasticnet,ok,rmse,12.418253927998844,9.971696120507502,12.418253927998844,10.705663462754904,0.05,0.5,0.01,,,,,,,,,,,,,,,Variance filtering then ElasticNet.,Remove low-information CpGs before fitting.,Can reduce noise and dimensionality.,Can discard weak but useful features.,
22,2,pca200-elasticnet,pca_elasticnet,failed,rmse,inf,inf,inf,inf,0.05,0.5,,200.0,,,,,,,,,,,,,,PCA(200) followed by ElasticNet.,Dimensionality reduction with sparse linear fit.,Combines latent compression and regularization.,More expensive than plain linear models.,"n_components=200 must be between 1 and min(n_samples, n_features)=146 with svd_solver='randomized'"
